Student_ID,Student_Name,University,Program,Graduation_Year,Region,Gender,Caste_Category,Socioeconomic_Status,Location_Type,Employment_Status,Industry,Avg_Starting_Salary,Employment_Rate,Avg_Time_to_Employment_months,Job_Satisfaction_Score,Tuition_Fees,Avg_Debt,Scholarship_Amount,ROI_Score,Career_Services_Score,Career_Guidance_Hours,Internship_Rate,Mentorship_Program,Alumni_Network_Score,Networking_Events_Attended
1,Aditya Sharma,Manipal University,Data Science,2022,North,Male,OBC,Low,Urban,Employed,Research,577623,0.84,2.8,9.2,183326,57729,28657,3.73,7.7,27,0.75,No,8.8,0
2,Sai Bose,IIM Ahmedabad,Data Science,2021,North,Male,OBC,Middle,Urban,Employed,Finance,863780,0.81,1.9,8.5,526417,380992,158263,2.35,7.8,24,0.83,No,7.1,5
3,Saanvi Kumar,Manipal University,Mechanical Engineering,2018,South,Male,OBC,Middle,Urban,Employed,Research,855808,0.9,1.5,8.9,441476,232527,95638,2.47,7.5,18,0.88,Yes,8.1,2
4,Ira Chopra,IIM Bangalore,Biotechnology,2020,North,Male,SC,Low,Urban,Employed,Research,1002103,0.82,1.4,9.0,430746,143479,148682,3.55,9.6,30,0.82,No,7.9,8
5,Ishaan Desai,BITS Pilani,Marketing,2018,West,Female,SC,Low,Urban,Employed,IT,683824,0.89,3.9,9.4,264975,99742,20969,2.8,9.4,12,0.8,No,8.3,0
6,Aditya Chatterjee,SRM University,Data Science,2021,South,Female,General,Middle,Rural,Employed,IT,694966,0.83,3.3,8.2,426183,334955,46832,1.83,8.5,30,0.77,Yes,7.3,8
7,Aarav Bhat,IIM Ahmedabad,Psychology,2018,South,Male,General,Middle,Rural,Employed,Healthcare,277490,0.91,3.8,6.7,232582,79735,63699,1.64,9.4,27,0.89,Yes,9.9,8
8,Anika Bose,IIT Kanpur,Biotechnology,2022,West,Male,SC,Middle,Rural,Employed,Public Sector,990073,0.81,2.9,6.9,276882,117384,8392,3.69,8.0,17,0.85,Yes,8.8,0
9,Diya Reddy,Delhi University,Civil Engineering,2019,West,Female,ST,Low,Urban,Employed,Public Sector,714390,0.91,4.0,6.4,576833,227967,25409,1.3,9.0,23,0.82,Yes,8.1,6
10,Diya Iyer,IIT Kanpur,Civil Engineering,2020,South,Male,ST,Low,Rural,Employed,Public Sector,651518,0.96,3.8,9.4,411941,303700,19761,1.66,8.3,27,0.72,Yes,9.6,2
11,Sara Mehta,Anna University,Civil Engineering,2021,North,Female,General,Low,Rural,Employed,Education,674105,0.83,1.9,9.9,627110,277574,182607,1.52,9.9,27,0.87,No,10.0,9
12,Meera Patel,Manipal University,Business Administration,2018,South,Male,General,High,Rural,Employed,Finance,919544,0.9,1.1,6.3,344851,115270,17815,2.81,9.0,13,0.94,Yes,7.7,10
13,Saanvi Desai,Delhi University,Business Administration,2020,South,Female,OBC,High,Rural,Employed,Research,824443,0.81,1.6,7.1,287235,182636,39321,3.33,8.4,12,0.7,Yes,9.8,5
